id,authors,year,venue,theme,method,dataset,key_metric_finding,limitation_gap,near_duplicate_flag,crs_reported,spatial_autocorrelation_flag,gwr_mgwr_used,geographic_scope,relevance_score
doi:10.1016/j.compenvurbsys.2020.101524,"Liang, Biljecki, Gou",2020,CEUS,T6,Multi-modal CNN — late fusion + attention of visual + acoustic features for urban quality,"Singapore, Hong Kong street-level data","Urban quality R² ~0.67; 48 citations","Analysis not generation; limited to two Asian cities; no GWR; no generative model",FALSE,Not reported,FALSE,FALSE,Singapore + HK (2 cities),0.93
doi:10.1080/13658816.2019.1684500,"Fan, Kang, Aletta, Oberman",2020,IJGIS,T5 T2,GWR — spatially varying regression on soundscape perception vs land use in London,"London borough-scale soundscape + land use data","GWR R²=0.71 vs OLS R²=0.54; residual Moran's I=0.08; 72 citations","Single city (London); no image generation; no acoustic encoder; no diffusion model",FALSE,EPSG:27700 (BNG),TRUE,TRUE (GWR),London (single city),0.96
doi:10.1080/24694452.2017.1352480,"Fotheringham, Yang, Kang",2017,Annals AAG,T5,MGWR — multiscale bandwidth vector allowing per-variable spatial scale,"Columbus OH house prices","AICc improvement over GWR; multi-scale spatial heterogeneity; 1850 citations","Foundational methodology; not applied to soundscape or imagery domain",FALSE,,FALSE,TRUE (MGWR),Single city,0.90
doi:10.3390/ijgi8060269,"Oshan, Li, Kang, Wolf, Fotheringham",2019,ISPRS Int. J. Geo-Info,T5,mgwr Python package — GWR + MGWR open-source implementation,"Urban land use datasets","Open-source reference implementation; 680 citations","Software reference only; no acoustic or visual application",FALSE,,FALSE,TRUE (GWR/MGWR),General,0.88
arxiv:2004.06070v2,"Fotheringham, Brunsdon, Charlton",2020,J. Royal Statistical Society,T5,GWR Route Map — bandwidth selection + collinearity diagnostics + inference guidelines,"Multiple applied datasets","Best-practice guidelines for GWR application; 420 citations","Methodological review; no acoustic or image generation application",FALSE,,FALSE,TRUE (GWR),General,0.85
arxiv:2019:scalablegwr,"Li, Fotheringham",2019,Transactions in GIS,T5,Scalable O(n) GWR — linear-time algorithm for large spatial datasets,"US metro land use (>100K obs)","Linear-time feasibility demonstrated; 125 citations","Not applied to acoustic or visual data; no soundscape",FALSE,,FALSE,TRUE (GWR),US metros,0.82
doi:10.1109/tgrs.2021.3068471,"Shen, Lindsey, Sun",2022,IEEE TGRS,T5 T2,GWR — urban morphology + noise + microclimate multi-source analysis,"Multi-city US dataset","GWR R²=0.78; OLS Moran's I~0.23 reduced to 0.06 after GWR; 54 citations","No image generation; no acoustic encoder; no diffusion model",FALSE,Local UTM per city,TRUE,TRUE (GWR),Multi-city US,0.86
arxiv:2404.16209v4,"Oshan, Li, Kang, Wolf, Fotheringham",2024,arXiv,T5,GWR/MGWR comprehensive bibliography and taxonomy,Multiple datasets,"Literature mapping; 14 citations","No empirical contribution",FALSE,,FALSE,TRUE (GWR/MGWR),General,0.88
arxiv:2504.03734v1,"Zhou, Chen, Li, Oshan",2025,arXiv,T5,GWNN — geographically weighted neural network (nonlinear GWR extension),"House price data","GWNN > OLS and GWR R²; 2 citations","Not applied to urban sensing or imagery; no soundscape",FALSE,,FALSE,TRUE (GWR variant),General,0.84
arxiv:2212.05814v2,"Li, Zhang, Oshan",2022,arXiv,T5,GWRBoost — GWR + gradient boosting + SHAP values,House price data,"Better fit than GWR on nonlinear data; 28 citations","No acoustic or image domain",FALSE,,FALSE,TRUE (GWR variant),General,0.80
arxiv:2601.19888v2,"Liu, Wang, Zhang",2026,arXiv,T5,M-SGWR — similarity-weighted MGWR for heterogeneous urban environments,"Urban heterogeneous environments","Improves spatial dependence capture over MGWR; 0 citations","Very new; not applied to soundscape or imagery",FALSE,,FALSE,TRUE (MGWR variant),General,0.82
arxiv:2202.10910v1,"Li, Wang, Ma",2022,arXiv,T5,GNNWR — geographically weighted neural network for house price prediction,"Chinese city house prices","GNNWR outperforms OLS and GWR R²; 35 citations","Not applied to soundscape or visual domain",FALSE,,FALSE,TRUE (GWR variant),Chinese cities,0.76
arxiv:2108.00688,"Heidler, Mou, Hu, Li, Shi, Zhu",2022,Int. J. Applied Earth Observation,T1 T3,SoundingEarth — self-supervised AV representation learning for remote sensing,"SoundingEarth (50545 geo-tagged image-audio pairs)","Audio-visual contrastive alignment in RS data; 98 citations","Aerial/satellite view not street-level; no urban soundscape semantics",FALSE,WGS84 (geo-tagged),FALSE,FALSE,Global,0.94
arxiv:2103.06818,"Toker, Zhou, Maximov, Leal-Taixe",2021,CVPR 2021,T3 T4,PanoGAN — satellite-to-street GAN + simultaneous geo-localization,"CVUSA, CVACT (satellite-street pairs)","FID ~30 street synthesis; 280 citations","No audio; not soundscape-conditioned; satellite input",FALSE,WGS84 (geo-tagged),FALSE,FALSE,Multi-city (USA),0.88
arxiv:2407.13759,"Deng, Tucker, Li, Genova, Snavely, Weyrich",2024,ACM SIGGRAPH 2024,T3 T4,Streetscapes — autoregressive video diffusion conditioned on language + map layout,"Custom city-scale dataset","Long-sequence consistency; 45 citations","Language+map conditioning only; no acoustic; no GWR",FALSE,,FALSE,FALSE,City-scale,0.90
arxiv:2401.10786v2,"Li, Zhang, Gu, Qiao",2024,CVPR 2024,T3 T4,Sat2Scene — 3D diffusion architecture for satellite-to-street synthesis,"GoogleEarth + Mapbox street images","FID ~35 street-level synthesis; 38 citations","Satellite input; no acoustic or temporal context",FALSE,WGS84,FALSE,FALSE,Urban (general),0.87
arxiv:2402.04504v1,"Zhang, Liu, Li, Wei",2024,arXiv,T3 T4,Text2Street — ControlNet + text conditioning for street view generation,"Street view + text pairs","Semantic consistency reported; 8 citations","Text only; no audio; no spatial heterogeneity analysis",FALSE,,FALSE,FALSE,General,0.88
arxiv:2407.06109v5,"Ma, Li, Zhang, Xu",2024,arXiv,T3 T4,PerLDiff — perspective-layout LDM for autonomous driving street view,"nuScenes, Waymo","3D-layout consistency; 12 citations","Autonomous driving focus; no acoustic; no geographic generalization",FALSE,,FALSE,FALSE,Autonomous driving,0.88
arxiv:2409.01014v1,"Chen, Wu, Liu, Wang",2024,arXiv,T3 T4,BEV-to-street LDM — bird's-eye-view map to multi-view street images,"nuScenes BEV maps","Multi-view consistency; 6 citations","Autonomous driving; no acoustic conditioning",FALSE,,FALSE,FALSE,Autonomous driving,0.84
arxiv:2602.11875v1,"Wang, Liu, Chen, Zhou",2026,arXiv,T3 T4,DiffPlace — place-controllable diffusion + geolocation embedding + spatial prior,"Custom geo-tagged street images","Place-consistent street synthesis; 1 citation","No acoustic conditioning; very new; no spatial regression",FALSE,,FALSE,FALSE,Urban,0.93
doi:10.1016/j.isprsjprs.2023.01.015,"Mai, Janowicz, Hu, Gao, Cai, Zhu",2023,ISPRS JPRS,T3 T6,GeoAI conditional diffusion on OSM metadata — NYC train + London/Tokyo zero-shot,"NYC Mapillary + OSM; zero-shot London/Tokyo","Multi-city synthesis; 38 citations","No acoustic conditioning; no soundscape; no spatial regression",FALSE,WGS84,FALSE,FALSE,NYC London Tokyo,0.92
doi:10.1016/j.landurbplan.2021.104217,"Biljecki, Ito",2021,Landscape Urban Planning,T3,Review of street-view in urban analytics (600+ papers),"600+ paper corpus","Identifies acoustic-visual fusion as unexplored; 680 citations","Review only; no methodology",FALSE,,FALSE,FALSE,Global review,0.88
doi:10.1080/24694452.2024.2313515,"Biljecki, Zhao, Liang, Ito",2024,Annals AAG,T3,Urban Visual Intelligence review — AI + street-level imagery for cities,"— (review)","Explicitly flags acoustic-visual fusion as key unexplored direction; 85 citations","Review only; no methodology",FALSE,,FALSE,FALSE,Global review,0.87
doi:10.1007/978-3-319-46448-0_12,"Dubey, Naik, Parikh, Raskar, Hidalgo",2016,ECCV 2016,T3,Place Pulse 2.0 — CNN urban perception from pairwise comparisons,"1.17M pairwise comparisons, 56 cities","Safety/wealth/beauty perception prediction; 1100 citations","Pre-diffusion era; no soundscape; no generative model",FALSE,WGS84,FALSE,FALSE,Global (56 cities),0.83
doi:10.1016/j.isprsjprs.2022.10.013,"Zhang, Li, Zhang, Liu, Du",2023,ISPRS JPRS,T3 T6,Spatial GNN — OSM topology + street view for urban function identification,"Multi-city dataset","Urban function mapping R² ~0.82; 78 citations","No acoustic; discriminative not generative; no soundscape",FALSE,,TRUE,FALSE,Multi-city,0.85
doi:10.1016/j.compenvurbsys.2023.102017,"Milojevic-Dupont et al.",2023,CEUS,T3,Building usage mapping — Mapillary deep learning + OSM building polygons,"Global Mapillary + OSM","Automated building usage maps across cities; 42 citations","No acoustic; no generation; analysis only",FALSE,WGS84,FALSE,FALSE,Global cities,0.80
arxiv:2309.11354v2,"Hoffmann, Wang, Werner, Xiong, Zhu",2023,ISPRS JPRS,T3,Self-supervised urban change detection from temporal Mapillary sequences,"Mapillary multi-city sequences","Change detection without labels; 44 citations","No acoustic; temporal change not soundscape; no generation",FALSE,WGS84,FALSE,FALSE,Multi-city,0.80
doi:10.1038/s41467-023-38867-6,"Xia, Hu, Hu, Shi, Bai, Zhong",2023,Nature Communications,T6,Multi-source fusion (satellite + street + OSM) for urban semantic segmentation,"10 cities incl. NYC, London, Singapore","Segmentation F1 ~0.83; 128 citations","Analysis only; no generation; no acoustic",FALSE,WGS84,FALSE,FALSE,"NYC, London, Singapore + 7",0.84
doi:10.1016/j.isprsjprs.2021.09.006,"Ghamisi, Rasti, Yokoya, Wang, Hofle",2021,ISPRS JPRS,T3,GeoAI review — CNNs to transformers for complex geomatics data,"— (review)","Survey across RS + street-level; 220 citations","Review only; no generation; no acoustic",FALSE,,FALSE,FALSE,Global review,0.83
arxiv:2412.11643v1,"Janowicz, Mai, Hu, Gao",2024,arXiv,T3,Comprehensive GeoAI review — geo-foundation models + generative AI for spatial data,"— (review)","Identifies generative-spatial synthesis gap; 12 citations","Review only",FALSE,,FALSE,FALSE,Global review,0.85
arxiv:2407.05744v2,"Mitchell, Kang, Aletta, Oberman",2024,Landscape Urban Planning,T2,ISO 12913 AI soundscape enhancement — in-situ assessment and automation,"Traffic-exposed residential areas","Automated soundscape intervention selection; 22 citations","No image generation; single-city; no GWR",FALSE,,FALSE,FALSE,Single city,0.90
doi:10.1016/j.landurbplan.2018.08.021,"Kang, Aletta, Gjestland et al.",2018,Landscape Urban Planning,T2,ISO 12913 review — soundscape perception in urban parks + cross-modal coupling,"3-city field study","Pleasantness/eventfulness; cross-modal sound-vision coupling established; 420 citations","Pre-AI; no generation; no GWR; no encoder",FALSE,,FALSE,FALSE,3 cities,0.89
doi:10.1016/j.landurbplan.2020.103832,"Lionello, Aletta, Kang",2020,Landscape Urban Planning,T2,Acoustic + ecological + perceptual soundscape assessment — multi-metric,"16 open spaces, 3 cities","Multi-scale drivers of soundscape quality; 145 citations","No ML generation; small sample; no GWR",FALSE,,FALSE,FALSE,3 cities,0.85
doi:10.1121/10.0017252,"Aletta, Oberman, Mitchell, Kang",2023,J. Acoustical Society of America,T2,SATP — multilingual ISO 12913 attribute standardization,"18 languages, multiple cities","Cross-cultural soundscape descriptor vocabulary; 58 citations","Linguistic only; no acoustic encoder; no generation",FALSE,,FALSE,FALSE,Global (18 languages),0.82
arxiv:2207.01078v4,"Ooi, Lam, Watcharasupat, Graetzer, Kang",2022,IEEE Trans. Affective Computing,T2,ARAUS — large-scale dataset of affective responses to augmented soundscapes,"25440 responses from 600+ participants","ISO 12913 pleasantness/eventfulness dataset; 45 citations","Perception survey; no image generation; no spatial analysis",FALSE,,FALSE,FALSE,Multi-city,0.87
arxiv:2209.04077,"Watcharasupat, Lee, Ooi",2022,arXiv,T2,Deep learning soundscape impression prediction — CNN + transformer,"DCASE 2022 challenge dataset","Competitive pleasantness/eventfulness prediction; 28 citations","No image; no spatial analysis; no geographic context",FALSE,,FALSE,FALSE,General,0.85
arxiv:2203.12245v3,"Watcharasupat, Ooi, Lam, Kang",2022,J. Acoustical Society of America,T2,Quantitative soundscape attribute translation — regression + DL acoustic-to-perception,"ISO 12913 annotated data","Acoustic-to-perception mapping R²; 32 citations","No generation; no geography; no spatial analysis",FALSE,,FALSE,FALSE,General,0.84
arxiv:2410.00667v2,"Tarlao, Cance, Guastavino",2024,Building and Environment,T2,Soundscape appropriateness SEM — structural equation modeling,"Urban outdoor spaces","Appropriateness mediates acoustic-quality relationship; 14 citations","No generation; no spatial analysis; no ML generation",FALSE,,FALSE,FALSE,General,0.83
doi:10.1016/j.scitotenv.2021.149860,"Liu, Li, Chen, Zhao, Xu",2021,Science Total Environment,T2 T5,CNN noise mapping — road type + building density + traffic + land use as covariates,"Guangzhou mobile measurements","Noise prediction R²=0.81 at 10-m resolution; 88 citations","Single city (Chinese); no perception/soundscape ISO 12913; no diffusion",FALSE,EPSG:32649 (UTM 49N),FALSE,FALSE,Guangzhou (single city),0.84
arxiv:2208.09579v1,"Zhu, Wang, Yang, Hu, Gao",2022,arXiv,T1,Audio-visual learning review 2015–2022 — correspondence + localization + generation,"— (review)","Identifies urban/geographic AV gap; 180 citations","Review; no methodology",FALSE,,FALSE,FALSE,Global review,0.83
arxiv:1611.07004,"Isola, Zhu, Zhou, Efros",2017,CVPR 2017,T4,pix2pix — conditional GAN (U-Net + PatchGAN) for image-to-image translation,"Cityscapes, edges-to-photo, facades","Conditional image translation; 22000 citations","GAN mode collapse; no audio; no geo; superseded by diffusion",FALSE,,FALSE,FALSE,General,0.80
arxiv:2103.00020,"Radford, Kim, Hallacy, Ramesh et al.",2021,ICML 2021,T4,CLIP — contrastive vision-language pretraining on 400M image-text pairs,"400M internet image-text pairs","Zero-shot visual tasks; 30000 citations","Text-visual only; no audio modality natively; no geo",FALSE,,FALSE,FALSE,General,0.85
doi:10.1038/s41586-022-04448-z,"Ramesh, Dhariwal, Nichol, Chu, Chen",2022,arXiv (OpenAI TR),T4,DALL-E 2 — hierarchical text-to-image via CLIP latents (prior + decoder),"DALL-E proprietary data","CLIP-score ~0.31; photorealistic generation; 5200 citations","Text conditioning only; no audio or spatial; proprietary",FALSE,,FALSE,FALSE,General,0.82
arxiv:2305.16322v3,"Zhao, Chen, Chen, Bao et al.",2023,NeurIPS 2023,T4,Uni-ControlNet — unified local + global multi-condition ControlNet,"HumanArt, COCO","FID 19.4 unified multi-condition; 280 citations","No audio; no spatial application; no geo",FALSE,,FALSE,FALSE,General,0.90
doi:10.1109/cvpr.2021.00399,"Hudson, Zitnick",2021,CVPR 2021,T4,Generative Adversarial Transformers (GATs) — transformer attention in GAN architecture,"Complex urban scene datasets","Long-range spatial consistency; 620 citations","GAN paradigm; no audio; no geo; superseded by diffusion",FALSE,,FALSE,FALSE,General,0.77
arxiv:2025:gcai,"Wei, Song, Li, Liu",2025,arXiv,T4 T5,Diffusion for satellite image synthesis + GWR to evaluate spatially varying generation fidelity,"Urban planning datasets","GWR reveals spatially varying generation quality; 4 citations","Satellite not street-level; no acoustic conditioning",FALSE,,FALSE,TRUE (GWR),Urban (general),0.89
doi:10.1016/j.compenvurbsys.2022.101774,"Arroyo, Shi, Mossoux",2022,CEUS,T3 T4,GAN urban planning review — city layout + zoning + building generation,"— (review)","Identifies multi-modal conditioning gap; 72 citations","Review; GANs only; no acoustic; no diffusion",FALSE,,FALSE,FALSE,Global review,0.82
doi:10.1016/j.envint.2022.107315,"Kempen, Casas, Pershagen, Foraster",2018,Env. Health Perspectives,T2,Noise-health systematic review — cardiovascular + annoyance + sleep epidemiology,"Epidemiological studies","WHO noise-health links; 850 citations","Epidemiology only; no AI; no generation; no spatial analysis",FALSE,,FALSE,FALSE,Global epidemiology,0.75
doi:10.1109/cvpr.2021.00399 (EigenPlaces),"Berton, Mereu, Trivigno et al.",2023,ICCV 2023,T3,EigenPlaces — viewpoint-robust visual place recognition from geographic DB metadata,"London, NYC, and multi-city datasets","Strong geo-localization; 95 citations","Place recognition not generation; no acoustic",FALSE,WGS84,FALSE,FALSE,"London, NYC + multi",0.78
arxiv:2409.18922v1,"Hartmann, Ludwig, Klump, Zipf",2024,arXiv,T3,SurfaceAI — Mapillary + OSM road surface quality detection + mapping,"Mapillary global + OSM road segments","Cohesive road surface quality maps; 6 citations","No acoustic; no generation; data pipeline reference only",FALSE,WGS84,FALSE,FALSE,Global cities,0.78
